Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
2,2.0,2.0,4.0,1,1,8/9/2023
0,4.0,3.0,12.0,0,0,16/5/2023
3,4.0,1.0,4.0,1,0,19/7/2023
5,2.0,5.0,10.0,2,1,27/4/2023
2,2.0,2.0,4.0,2,0,11/6/2023
8,5.0,4.0,20.0,1,1,31/3/2023
1,3.0,3.0,9.0,2,1,6/10/2023
6,4.0,4.0,16.0,0,1,28/10/2023
1,5.0,3.0,15.0,2,1,28/7/2023
6,5.0,4.0,20.0,2,0,31/12/2023
5,5.0,5.0,25.0,0,1,7/11/2023
6,2.0,4.0,8.0,1,1,16/6/2023
6,2.0,4.0,8.0,0,0,3/5/2023
3,5.0,1.0,5.0,2,1,1/6/2023
9,2.0,1.5,3.0,2,0,21/3/2023
5,3.0,5.0,15.0,1,0,15/11/2023
6,1.0,4.0,4.0,2,1,10/6/2023
4,2.0,3.0,6.0,0,0,24/2/2023
0,5.0,3.0,15.0,0,1,25/3/2023
4,4.0,3.0,12.0,0,1,15/1/2023
8,5.0,4.0,20.0,0,0,4/4/2023
8,4.0,4.0,16.0,1,1,30/3/2023
6,3.0,4.0,12.0,2,1,1/12/2023
6,2.0,4.0,8.0,2,1,18/9/2023
6,5.0,4.0,20.0,0,0,3/6/2023
8,3.0,4.0,12.0,2,1,13/12/2023
3,5.0,1.0,5.0,1,0,20/4/2023
4,4.0,3.0,12.0,1,1,10/4/2023
8,5.0,4.0,20.0,1,1,11/3/2023
0,4.0,3.0,12.0,2,1,16/6/2023
2,5.0,2.0,10.0,2,1,2/6/2023
3,2.0,1.0,2.0,1,1,6/11/2023
8,4.0,4.0,16.0,2,0,15/8/2023
3,5.0,1.0,5.0,0,1,16/6/2023
8,2.0,4.0,8.0,2,1,9/10/2023
6,1.0,4.0,4.0,1,1,28/5/2023
1,4.0,3.0,12.0,2,0,17/7/2023
5,2.0,5.0,10.0,1,0,29/4/2023
8,4.0,4.0,16.0,2,1,8/6/2023
2,4.0,2.0,8.0,2,1,29/6/2023
8,3.0,4.0,12.0,2,0,17/4/2023
6,4.0,4.0,16.0,2,1,22/12/2023
9,2.0,1.5,3.0,2,1,10/1/2023
4,4.0,3.0,12.0,2,1,2/10/2023
3,2.0,1.0,2.0,2,1,23/2/2023
5,3.0,5.0,15.0,0,1,22/3/2023
4,4.0,3.0,12.0,2,0,3/11/2023
4,5.0,3.0,15.0,2,1,2/3/2023
4,5.0,3.0,15.0,0,1,26/6/2023
0,3.0,3.0,9.0,2,1,2/5/2023
0,5.0,3.0,15.0,2,1,5/9/2023
5,5.0,5.0,25.0,2,1,8/1/2023
5,5.0,5.0,25.0,2,1,15/3/2023
8,3.0,4.0,12.0,1,1,25/11/2023
8,5.0,4.0,20.0,2,1,5/12/2023
3,2.0,1.0,2.0,1,1,19/3/2023
0,5.0,3.0,15.0,2,1,27/6/2023
0,1.0,3.0,3.0,2,0,19/4/2023
6,4.0,4.0,16.0,0,1,3/11/2023
4,5.0,3.0,15.0,2,0,7/10/2023
5,1.0,5.0,5.0,2,1,30/9/2023
1,1.0,3.0,3.0,2,0,9/10/2023
6,1.0,4.0,4.0,0,1,27/5/2023
5,3.0,5.0,15.0,2,1,18/11/2023
8,4.0,4.0,16.0,2,1,1/6/2023
6,3.0,4.0,12.0,2,0,20/10/2023
4,2.0,3.0,6.0,0,1,30/3/2023
3,1.0,1.0,1.0,1,1,3/10/2023
5,2.0,5.0,10.0,2,0,27/10/2023
1,5.0,3.0,15.0,2,0,6/4/2023
9,2.0,1.5,3.0,0,0,22/3/2023
0,2.0,3.0,6.0,1,0,31/1/2023
3,1.0,1.0,1.0,0,0,8/12/2023
5,2.0,5.0,10.0,2,1,19/6/2023
8,2.0,4.0,8.0,1,1,14/12/2023
2,1.0,2.0,2.0,0,1,16/7/2023
6,4.0,4.0,16.0,0,1,22/2/2023
5,1.0,5.0,5.0,2,0,16/6/2023
9,5.0,1.5,7.5,0,1,2/6/2023
4,4.0,3.0,12.0,0,0,15/6/2023
2,2.0,2.0,4.0,1,0,9/12/2023
6,2.0,4.0,8.0,2,0,18/4/2023
3,2.0,1.0,2.0,2,1,7/11/2023
0,3.0,3.0,9.0,0,0,28/10/2023
0,4.0,3.0,12.0,1,1,22/12/2023
9,3.0,1.5,4.5,0,1,29/10/2023
0,5.0,3.0,15.0,1,1,30/4/2023
3,5.0,1.0,5.0,2,1,2/4/2023
5,1.0,5.0,5.0,2,1,24/5/2023
3,5.0,1.0,5.0,2,0,12/3/2023
9,2.0,1.5,3.0,1,0,16/8/2023
1,5.0,3.0,15.0,2,0,28/10/2023
4,5.0,3.0,15.0,1,1,10/9/2023
2,3.0,2.0,6.0,1,1,7/3/2023
4,3.0,3.0,9.0,0,1,7/8/2023
5,3.0,5.0,15.0,2,1,20/8/2023
5,5.0,5.0,25.0,0,0,10/6/2023
2,4.0,2.0,8.0,2,0,15/4/2023
4,4.0,3.0,12.0,0,1,27/5/2023
2,4.0,2.0,8.0,0,0,25/7/2023
5,5.0,5.0,25.0,0,1,30/10/2023
5,3.0,5.0,15.0,2,1,28/10/2023
4,2.0,3.0,6.0,2,1,15/12/2023
0,4.0,3.0,12.0,2,1,16/6/2023
4,2.0,3.0,6.0,2,1,16/6/2023
5,4.0,5.0,20.0,2,0,25/2/2023
3,3.0,1.0,3.0,1,1,3/4/2023
3,3.0,1.0,3.0,1,1,8/10/2023
3,5.0,1.0,5.0,2,1,28/12/2023
9,4.0,1.5,6.0,2,1,30/8/2023
6,1.0,4.0,4.0,2,0,3/2/2023
8,2.0,4.0,8.0,1,1,12/9/2023
8,5.0,4.0,20.0,2,1,27/4/2023
4,3.0,3.0,9.0,2,1,4/5/2023
2,5.0,2.0,10.0,2,1,21/2/2023
5,2.0,5.0,10.0,0,1,16/6/2023
4,3.0,3.0,9.0,0,1,16/3/2023
4,3.0,3.0,9.0,2,1,10/1/2023
1,5.0,3.0,15.0,2,0,6/2/2023
5,2.0,5.0,10.0,1,1,24/2/2023
0,2.0,3.0,6.0,2,1,2/6/2023
2,3.0,2.0,6.0,2,1,29/3/2023
0,2.0,3.0,6.0,2,1,18/6/2023
2,5.0,2.0,10.0,2,0,23/9/2023
4,3.0,3.0,9.0,2,1,14/1/2023
9,4.0,1.5,6.0,0,0,14/9/2023
4,5.0,3.0,15.0,1,1,16/9/2023
8,4.0,4.0,16.0,1,1,28/12/2023
4,2.0,3.0,6.0,2,1,6/2/2023
6,2.0,4.0,8.0,0,0,11/3/2023
9,1.0,1.5,1.5,0,1,8/4/2023
9,1.0,1.5,1.5,2,1,19/12/2023
4,4.0,3.0,12.0,1,1,14/7/2023
4,5.0,3.0,15.0,0,0,18/4/2023
4,2.0,3.0,6.0,2,1,8/6/2023
9,5.0,1.5,7.5,1,1,12/12/2023
2,5.0,2.0,10.0,0,0,5/1/2023
5,3.0,5.0,15.0,1,0,10/6/2023
6,5.0,4.0,20.0,2,0,23/1/2023
9,1.0,1.5,1.5,1,1,20/2/2023
